When is [professor] teaching [class-number]? | List of [day]
When is [professor] teaching [class-number]? | List of [day]
What times is the course [class-number] being offered on [day]? | [start-time] for [class-number]
What is [professor] [phonen]? | [phonen]
Where is [class-number] being taught? | List of [location]
What day(s) of the week is [professor] not teaching on? | List of [day]
What day(s) of the week is [professor] not teaching on? | List of [day]
In what building is [class-number] being offered? | [location]
When is [professor] done teaching on [day]? | [end-time]
When is [professor] done teaching on [day]? | [end-time]
Tell me [professor] office location? | [location]
Do you know [professor] office location? | [location]
Where can I find [professor] in between classes? | [location]
Can you tell me the location of [professor]’s office? | [location]
What is [professor] earliest lecture? | [start-time]
Do you know [professor] first lecture? | [start-time]
What is [professor] latest lecture? | [end-time]
Do you know [professor] last lecture on [day]? | [end-time]
Do you know [professor] last lecture on [day]? | [end-time]
How many sections of [class-number] are being taught this quarter? | Number of Classes
How many sections of [class-number] are being taught this quarter by [professor]? | Number of Classes
How many sections of [class-number] are being taught this quarter on [day]? | Number of Classes
How many sections of [class-number] are being taught this quarter in [location]? | Number of Classes
How long is the average class in the Statistics department? | AVG([start_time] - [end-time])
How long is the average class in the CSSE department? | AVG([start_time] - [end-time])
What [class-number] has the least amount of hours per week in the CSSE department? | MIN([start_time] - [end-time])
What [class-number] has the most amount of hours per week in the CSSE department? | MAX([start_time] - [end-time])
What is the title of [professor] in the CSSE department? | [title]
What is the title of [professor] in the Statistics department? | [title]
How many upper division classes is [professor] teaching? | Number of classes
How many upper division classes is [professor] teaching? | Number of classes
How many lower division classes is [professor] teaching? | Number of classes
How many lower division classes is [professor] teaching? | Number of classes
What is the number of professors teaching [class-number] ? | Number of professors
What is the number of professors teaching in the CSSE department? | Number of professors
What is the number of professors teaching in the Statistics department? | Number of professors
Does the [location] have a class in session? | [yes
What time is [professor] teaching [class-number]? | [start-time]
Tell me when [professor] is teaching [class-number] | List of [day]
When is the course [class-number] being offered on [day]? | [start-time]
What time is [class-number] being offered on [day]? | [start-time]
Can you tell me [professor]’s [phonen]? | [phonen]
Do you know [professor]’s [phonen]? | [phonen]
In what room is [class-number] being taught? | [location]
Where on campus is [class-number] being taught? | [location]
For what days is [professor] not teaching? | [day]
Can you tell me the days that [professor] is not teaching? | [day]
What building is [class-number] in? | [location]
What is the building of [class-number]? | [location]
What time is [professor] done teaching on [day]? | [end-time]
On [day] what time is [professor] done teaching? | [end-time]
Where is the office of [professor]? | [location]
Where is [professor]’s office? | [location]
What is the room number of [professor]’s office? | [location]
What time does [professor] start teaching? | [start-time]
What time does [professor] finish teaching? | [end-time]
How many sections of [class-number] are there this quarter? | Number of sections
What is the number of sections of [class-number] this quarter? | Number of sections
Tell me the number of sections of [class-number] this quarter | Number of sections
What is the number of sections of [class-number] being taught this quarter by [professor]? | Number of sections
Tell me the number of sections of [class-number] being taught this quarter on [day] | Number of sections
What is the number of sections of [class-number] being taught this quarter in [location]? | Number of sections
Can I take [class-number] and [class-number2] together? | Yes or No
What days of the week is [class-number] scheduled for? | List of [dayofweek]
How many sections of [course] have openings? | Number
Is [course] being taught in [year-term]? | Yes or No
Is [course] usually taught in the [term] quarter? | Yes or No
What terms is [course] scheduled for? | List of [year-term]
Who is teaching [course] this quarter? | List of [professor]
Will [professor] be teaching [course] this quarter? | Yes or No
Where will [professor] be at [time] on [day]? | [location]
Will [professor] be available for [duration] on [day]? | Yes or No
Will [professor] be available at [time] on [day]? | Yes or No
How many classes are being offered in [year-term]? | Number
How many faculty are teaching [course]? | Number
How many sections of [course] have class on [day]? | Number
How many available seats are there in [class-number]? | Number
What type of class is [class-number]? | [class-level]
Is [professor] teaching in [year-term]? | Yes or No
What are the prerequisites for [course]? | List of [course]
What are the corequisites for [course]? | List of [course]
Does [course] have any prerequisites? | Yes or No
Does [course] have any corequisites? | Yes or No
Is [course] offered in the [timeofday]? | Yes or No
What classes are offered in the [timeofday]? | List of [course]
What [timeofday] classes are there? | List of [class-number]
Does [class-number] have a lab section? | Yes or No
What time is the lab section for [class-number]? | [timeofday]
How many units is [class-number]? | Number
How long is [class-number] including its lab? | [duration]
How many classes is [professor] teaching in [year-term]? | Number
Give me the day(s) of the week [class-number] is offered? | List of [day]’
Do you know what day(s) of the week [class-number] is offered? | List of [day]’
Do you know which day(s) of the week [class-number] is offered? | List of [day]’
What day(s) of the week is [class-number] offered? | List of [day]’
Tell me the day(s) of the week [class-number] is offered? | List of [day]’
Which day(s) of the week is [class-number] offered? | List of [day]’
What day(s) of the week is [professor] free? | List of [day]
What day(s) of the week is [professor] free? | List of [day]’
What classes are taught in [location] | List of [class-number]’
Tell me the classes that are taught in [location] | List of [class-number]’
Can you give me the classes that are taught in [location] | List of [class-number]’
Which classes are taught in [location] | List of [class-number]’
How many classes are taught in [location] | Number of classes
Is [professor] available in the [timeofday] | Yes or No
Is [professor] free in the [timeofday] | Yes or No
Is [professor] busy in the [timeofday] | Yes or No
Is [professor] unavailable in the [timeofday] | Yes or No
Is there a [timeofday] section for [class-number] | Yes or No
Tell me if there is a [timeofday] section for [class-number] | Yes or No
Do you know if there is a [timeofday] section for [class-number] | Yes or No
How many units is [class-number] worth? | Number
How many classes does [professor] teach on [dayofweek]? | Number
Which classes does [professor] teach on [dayofweek]? | List of [class-number]
What time does [professor] office hours end? | End-Time
What time does [professor] office hours start? | Start-Time
Are there any sections of [course]? | There are [num_sections] sections of [course].
